gender,eng,count,pr_fa,abjad,pr_en,origin,civil_registration_approved
دختر,samaneezar,101,سمنعذار,1121,seezār,فارسی,تایید شده
دختر,sudabe,57523,سودابه,78,sudābe,"فارسی , پهلوی",تایید شده
دختر,siminrokh,187,سيمينرخ,970,srokh,فارسی,تایید شده
دختر,siminru,101,سيمينرو,376,sru,فارسی,تایید شده
دختر,sargolan,101,سرگلان,361,sargolān,فارسی,تایید شده
دختر,sarvin dokht,101,سرويندخت,1330,sarvin dokht,فارسی,تایید شده
دختر,sarira,190,سريرا,471,sarirā,فارسی,تایید شده
دختر,samanchehr,101,سمنچهر,355,sčehr,فارسی,تایید شده
دختر,samandokht,101,سمندخت,1154,sdokht,فارسی,تایید شده
دختر,samansa,101,سمنسا,211,ssā,فارسی,تایید شده
دختر,samannaz,564,سمنناز,208,snāz,فارسی,تایید شده
دختر,sahi dokht,101,سهي دخت,1079,saohi dokht,فارسی,تایید شده
دختر,sava,101,ساوا,68,sāvā,ترکی,تایید شده
دختر,savina,121,ساوینا,128,sāvinā,فارسی,تایید شده
دختر,sepase,101,سپاسه,128,sepāse,فارسی,تایید شده
دختر,sepid dokht,101,سپيدخت,1076,sepid dokht,فارسی,تایید شده
دختر,sarvdokht,101,سرودخت,1270,sdokht,فارسی,تایید شده
دختر,sarvgol,7234,سروگل,316,sgol,فارسی,تایید شده
دختر,sorusha,259,سروشا,567,sorušā,"فارسی , اوستایی",تایید شده
دختر,sorushe,101,سروشه,571,soruše,فارسی,تایید شده
دختر,suriya,269,سوريا,277,suriyā,سانسکریت,تایید شده
دختر,suriddokht,101,سوريدخت,1280,sdokht,فارسی,تایید شده
دختر,sohad,101,سهاد,70,sohād,عربی,تایید شده
دختر,sarir,109,سرير,470,sarir,عربی,تایید شده
دختر,salile,220,سليله,135,salile,عربی,تایید شده
دختر,sariye,5227,ساريه,276,sāriye,عربی,تایید شده
دختر,saghi,1691,ساقی,171,sāqi,عربی,تایید شده
دختر,sajaya,120,سجايا,75,sajāyā,عربی,تایید شده
دختر,sorur,34242,سرور,466,sorur,"فارسی , عربی",تایید شده
دختر,saniye,1700,سنيه,125,saniyye,عربی,تایید شده
دختر,sondos,706,سندس,174,sondos,عربی,تایید شده
دختر,simiya,101,سیمیا,121,simiyā,عربی,تایید شده
دختر,seta,101,ستا,461,setā,فارسی,تایید شده
دختر,sarafshan,101,سرافشان,692,sarafšān,فارسی,تایید شده
دختر,sameh,141,سامه,106,sāme,فارسی,تایید شده
دختر,sur,101,سور,266,sur,فارسی,تایید شده
دختر,sonbol,1021,سنبل,142,sonbol,عربی,تایید شده
دختر,sonbole,414,سنبله,147,sonbole,فارسی,تایید شده
دختر,sokhan,101,سخن,710,sokhan,فارسی,تایید شده
دختر,sayta,101,سای تا,472,sāytā,فارسی,تایید شده
پسر,savrin,,ساورین,327,savrin,ترکی,نامشخص
پسر,sofra,,سوفرا,347,sofra,فارسی,نامشخص
پسر,setayan,,ستایان,522,setayan,فارسی,نامشخص
پسر,saden,,سادن,115,saden,عربی,نامشخص
پسر,sepahyar,,سپهیار,278,sepahyar,فارسی,نامشخص
دختر,samal,,سامال,132,samal,ترکی,نامشخص
پسر,sepitman,,سپیتمان,563,sepitman,"فارسی , پهلوی",نامشخص
دختر,sarinaz,,ساریناز,329,sarinaz,ترکی,نامشخص
دختر,sonaz,,سوناز,124,sonaz,ترکی,نامشخص
پسر,sarok,,سروک,286,sarok,کردی,نامشخص
دختر,cinderella,,سیندرلا,355,cinderella,لاتین,نامشخص
پسر,saeya,125,سعيا,141,saeyā,عربی,تایید شده
پسر,sepehr dad,269,سپهرداد,276,sepehr dād,فارسی,تایید شده
پسر,samrrad,101,سمراد,305,samrrād,فارسی,تایید شده
پسر,sariran,101,سريران,521,sarirān,فارسی,تایید شده
پسر,sahirad,101,سهیراد,280,sahirād,فارسی,تایید شده
پسر,sariya,129,ساريا,272,sāriyā,فارسی,تایید شده
پسر,sorushan,101,سروشان,617,sorušān,فارسی,تایید شده
پسر,sinamehr,101,سينامهر,366,smehr,فارسی,تایید شده
پسر,sakha,101,سخا,661,sakhā,عربی,تایید شده
پسر,sirin,101,سيرين,330,sirin,عربی,تایید شده
پسر,soeud,935,سعود,140,soeud,عربی,تایید شده
پسر,sahl,101,سهل,95,sahl,عربی,تایید شده
پسر,sahran,101,سهران,316,sahrān,عربی,تایید شده
پسر,salarmahdi,101,سالارمهدی,351,smahdi,"فارسی , عربی",تایید شده
پسر,sarvad,101,سرواد,271,sarvād,فارسی,تایید شده
پسر,sorud,101,سرود,270,sorud,فارسی,تایید شده
پسر,samandar,412,سمندر,354,samandar,فارسی,تایید شده
پسر,sepehrin,101,سپهرين,327,sepehrin,فارسی,تایید شده
دختر,san naz,136,سنناز,168,san nāz,ترکی,تایید شده
دختر,simin,38414,سيمين,170,simin,فارسی,تایید شده
دختر,siminchehr,101,سيمينچهر,375,sčehr,فارسی,تایید شده
دختر,simindokht,3452,سيميندخت,1174,sdokht,فارسی,تایید شده
دختر,siminfar,101,سيمينفر,450,sfar,فارسی,تایید شده
دختر,siminzar,1641,سيمينزر,377,szar,فارسی,تایید شده
دختر,siva,101,سيوا,77,sivā,مازندرانی,تایید شده
دختر,saediye,8363,سعديه,149,saediye,عربی,تایید شده
دختر,samahe,101,سماحه,114,samāhe,عربی,تایید شده
دختر,saadat,12748,سعادت,535,saādat,عربی,تایید شده
دختر,sohi,303,سهی,75,sohi,"فارسی , عربی",تایید شده
دختر,sureh,3265,سوره,271,sure,عربی,تایید شده
دختر,sarv,562,سرو,266,sarv,فارسی,تایید شده
دختر,susan,58065,سوسن,176,susan,فارسی,تایید شده
دختر,sarvi,3285,سروی,276,sarvi,فارسی,تایید شده
دختر,samya,885,ساميا,112,sāmyā,فارسی,تایید شده
پسر,sajed,3667,ساجد,68,sājed,عربی,تایید شده
پسر,salam,,سلام,131,salam,عربی,نامشخص
دختر,sabod,,سابود,73,sabod,فارسی,نامشخص
دختر,sati,,ساتی,471,sati,فارسی,نامشخص
دختر,satiyam,,ساتیام,512,satiyam,لری,نامشخص
دختر,sachli,,ساچلی,101,sachli,ترکی,نامشخص
دختر,saher,,ساحر,269,saher,عربی,نامشخص
دختر,sahereh,,ساحره,274,sahere,عربی,نامشخص
دختر,saralmaz,,سارالماز,340,saralmaz,ترکی,نامشخص
دختر,sariyan,,ساریان,322,sariyan,فارسی,نامشخص
دختر,sarineh,,سارینه,326,sarine,فارسی,نامشخص
دختر,sazak,,سازک,88,sazak,فارسی,نامشخص
دختر,satee,,ساطعه,145,satee,عربی,نامشخص
دختر,salsa,,سالسا,152,salsa,لاتین,نامشخص
دختر,salemeh,,سالمه,136,saleme,عربی,نامشخص
دختر,salviya,,سالویا,108,salviya,لاتین,نامشخص
دختر,samira,,سامیرا,312,samira,عربی,نامشخص
دختر,samineh,,سامینه,166,samine,کردی,نامشخص
دختر,sanva,,سانوا,118,sanva,فارسی,نامشخص
دختر,savand,,ساوند,121,savand,فارسی,نامشخص
دختر,sayreh,,سایره,276,sayre,عربی,نامشخص
دختر,sayneh,,ساینه,126,sayne,فارسی,نامشخص
دختر,sabaro,,سبارو,269,sabaro,فارسی,نامشخص
دختر,sabzbahar,,سبزبهار,277,sabzbahar,فارسی,نامشخص
دختر,sabzpari,,سبزپری,281,sabzpari,فارسی,نامشخص
دختر,sabzineh,,سبزینه,134,sabzine,فارسی,نامشخص
دختر,setak,,ستاک,481,setak,فارسی,نامشخص
دختر,sahar nosh,,سحرنوش,624,sahar nosh,"فارسی , عربی",نامشخص
دختر,seda,,سدا,65,seda,ارمنی,نامشخص
دختر,saraviz,,سرآویز,284,saraviz,فارسی,نامشخص
دختر,sorkhab,,سرخاب,863,sorkhab,فارسی,نامشخص
دختر,sargol,,سرگل,310,sargol,فارسی,نامشخص
پسر,saeil,,ساییل,111,saeil,ترکی,نامشخص
دختر,sayrav,,سایراو,278,sayrav,ترکی,نامشخص
پسر,sindad,,سینداد,129,sindad,فارسی,نامشخص
پسر,sepahram,101,سپهرم,307,sepahram,فارسی,تایید شده
پسر,sorayesh,101,سرايش,571,soarāyeš,فارسی,تایید شده
پسر,seyhun,101,سیحون,134,seyhun,فارسی,تایید شده
پسر,seyhan,101,سیحان,129,seyhān,فارسی,تایید شده
پسر,salaman,101,سلامان,182,salāmān,یونانی,تایید شده
پسر,seraj,2451,سراج,264,serāj,عربی,تایید شده
پسر,saedoddin,282,سعدالدين,229,saedoddin,عربی,تایید شده
پسر,seyfollah,61845,سيفالله,216,seyfollāh,عربی,تایید شده
پسر,saham,406,سهام,106,sahām,عربی,تایید شده
پسر,sahban,101,سحبان,121,sāhbān,عربی,تایید شده
پسر,siwan,3259,سیوان,127,siwān,کردی,تایید شده
پسر,sarvar,2134,سرور,466,sarvar,فارسی,تایید شده
پسر,setorg,101,سترگ,680,seotorg,"پهلوی , هندی",تایید شده
پسر,sudmand,101,سودمند,164,sudmand,پهلوی,تایید شده
پسر,sezavar,101,سزاوار,275,seazāvar,فارسی,تایید شده
دختر,sevinj,638,سوينج,129,seovinj,ترکی,تایید شده
دختر,sevdi,101,سودی,80,sevdi,ترکی,تایید شده
دختر,sevim,146,سويم,116,seovim,ترکی,تایید شده
دختر,sayin,101,سایین,131,sāyin,ترکی,تایید شده
دختر,solmaz,34330,سولماز,144,solmāz,ترکی,تایید شده
دختر,sotude,1245,ستوده,475,sotude,فارسی,تایید شده
دختر,salume,2037,سالومه,142,sālume,عبری,تایید شده
دختر,saradokht,101,سارادخت,1266,sdokht,"پهلوی , عبری",تایید شده
دختر,sadeneh,169,سادنه,120,sādene,عربی,تایید شده
دختر,salimeh,45474,سليمه,145,salime,عربی,تایید شده
دختر,samihea,170,سميحه,123,samiheā,عربی,تایید شده
دختر,sahere,3484,ساهره,271,sāhere,عربی,تایید شده
دختر,salamat,1542,سلامت,531,salāmat,فارسی,تایید شده
دختر,sahargol,259,سحرگل,318,sgol,"فارسی , عربی",تایید شده
دختر,sarve,8448,سروه,271,sarve,کردی,تایید شده
دختر,samere,101,سامره,306,sāmere,عربی,تایید شده
دختر,sahele,830,ساحله,104,sāhele,"فارسی , عربی",تایید شده
دختر,sabrina,,سابرینا,324,sabrina,فارسی,نامشخص
دختر,satrap,,ساتراپ,664,satrap,فارسی,نامشخص
دختر,satira,,ساتیرا,672,satira,فارسی,نامشخص
دختر,satin,,ساتین,521,sātin,فارسی,نامشخص
دختر,sadna,,سادنا,116,sadna,فارسی,نامشخص
دختر,sadina,,سادینا,126,sadina,فارسی,نامشخص
پسر,sarko,,سارکو,287,sarko,فارسی,نامشخص
پسر,sargon,,سارگن,331,sargon,فارسی,نامشخص
پسر,sarman,,سارمان,352,sarman,ترکی,نامشخص
دختر,sarena,,سارنا,312,sarena,فارسی,نامشخص
دختر,sarniya,,سارنیا,322,sarniya,فارسی,نامشخص
دختر,sarisa,,ساریسا,332,sarisa,کردی,نامشخص
دختر,sarv azad,,سروآزاد,279,sarv azad,فارسی,نامشخص
دختر,sarv tan,,سروتن,716,sarv tan,فارسی,نامشخص
دختر,sarv jahan,,سروجهان,325,sarv jahan,فارسی,نامشخص
دختر,saltanat,,سلطنت,549,saltanat,عربی,نامشخص
دختر,solmaz,,سلماز,138,solmaz,ترکی,نامشخص
دختر,salmeh,,سلمه,135,salme,"فارسی , عربی",نامشخص
دختر,samanoy,,سمنوی,166,samanoy,فارسی,نامشخص
دختر,semiramis,,سمیرا میس,421,semiramis,فارسی,نامشخص
پسر,samin,,سمین,160,samin,عربی,نامشخص
دختر,samineh,,سمینه,165,samine,عربی,نامشخص
دختر,sandus,,سندوس,180,sandus,فارسی,نامشخص
دختر,souja,,سوجا,70,souja,فارسی,نامشخص
دختر,sozyar,,سوزیار,284,sozyar,کردی,نامشخص
دختر,sosanak,,سوسنک,196,sosanak,فارسی,نامشخص
دختر,sogoli,,سوگلی,126,sogoli,ترکی,نامشخص
دختر,solaf,,سولاف,177,solaf,کردی,نامشخص
دختر,sonalika,,سونالیکا,178,sonalika,سانسکریت,نامشخص
دختر,sahizad,,سهیزاد,87,sahizad,فارسی,نامشخص
پسر,sirang,,سیرنگ,340,sirang,فارسی,نامشخص
دختر,sayfor,,سیفور,356,sayfor,فارسی,نامشخص
دختر,sika,,سیکا,91,sika,فارسی,نامشخص
دختر,sim rokh,,سیمرخ,910,sim rokh,فارسی,نامشخص
دختر,sosereh,,سوسره,331,sosereh,مازندرانی,نامشخص
پسر,saghman,,ساغمان,1152,saghman,ترکی,نامشخص
پسر,soltan,,سلطان,150,soltan,عربی,نامشخص
پسر,salm,101,سلم,130,salm,اوستایی,تایید شده
پسر,sepantam,101,سپنتام,553,sepantām,اوستایی,تایید شده
پسر,saed,1964,ساعد,135,sāed,عربی,تایید شده
پسر,serajoddin,2208,سراجالدين,359,serājoddin,عربی,تایید شده
پسر,sahamoddin,188,سهامالدين,201,sahāmoddin,عربی,تایید شده
پسر,somran,122,سمران,351,somrān,فارسی,تایید شده
پسر,soghrat,106,سقراط,370,soqrāt,یونانی,تایید شده
پسر,saboktakin,101,سبکتکين,562,saboktakin,مغولی,تایید شده
پسر,sarshar,101,سرشار,761,saršār,فارسی,تایید شده
پسر,sepahran,101,سپهران,318,sepahrān,فارسی,تایید شده
پسر,savak,246,سواک,87,savak,ارمنی,تایید شده
پسر,saviz,124,ساويز,84,sāviz,فارسی,تایید شده
دختر,setatira,101,ستاتيرا,1072,setātirā,فارسی,تایید شده
دختر,sarab,101,ساراب,264,sārāb,فارسی,تایید شده
دختر,sarme,101,سارمه,306,sārme,گیلکی,تایید شده
دختر,somayye,475409,سميه,115,somayye,عربی,تایید شده
دختر,simine,136,سيمينه,175,simine,فارسی,تایید شده
دختر,simineezar,3827,سيمينعذار,1141,seezār,فارسی,تایید شده
دختر,siminbar,105,سيمينبر,372,sbar,فارسی,تایید شده
دختر,simadokht,101,سيمادخت,1115,sdokht,"فارسی , عربی",تایید شده
دختر,saghe,101,ساقه,166,sāqe,عربی,تایید شده
دختر,saedeh,1074,ساعده,140,sāede,عربی,تایید شده
دختر,sirat,101,سیرت,670,sirat,عربی,تایید شده
دختر,saeade,663,سعاده,140,saeāde,عربی,تایید شده
دختر,sarvine,101,سروينه,331,sarvine,فارسی,تایید شده
دختر,samanta,101,سمنتا,551,stā,فارسی,تایید شده
دختر,samidokht,101,ساميدخت,1115,sdokht,فارسی,تایید شده
دختر,siranush,929,سيرانوش,627,sirānuš,"فارسی , پهلوی",تایید شده
دختر,saden,168,سدن,114,saden,عربی,تایید شده
دختر,soraye,101,سرايه,276,sorāye,فارسی,تایید شده
دختر,sakar,,ساکار,282,sakar,کردی,نامشخص
دختر,saliz,,سالیز,108,saliz,لری,نامشخص
دختر,samanta,,سامانتا,553,samanta,لاتین,نامشخص
دختر,samtin,,سامتین,561,samtin,"عربی , عبری",نامشخص
پسر,samrand,,سامرند,355,samrand,کردی,نامشخص
پسر,same,,سامع,171,sāme,عربی,نامشخص
دختر,sameeh,,سامعه,176,sāmee,عربی,نامشخص
دختر,samita,,سامیتا,512,samita,فارسی,نامشخص
پسر,sahi,,ساهی,76,sahi,کردی,نامشخص
پسر,savra,,ساورا,268,savra,فارسی,نامشخص
دختر,savrina,,ساورینا,328,savrina,فارسی,نامشخص
دختر,sayra,,سایرا,272,sayra,ترکی,نامشخص
پسر,sayrus,,سایروس,337,sayrus,لاتین,نامشخص
دختر,saynaz,,سایناز,129,saynaz,لری,نامشخص
پسر,sayhan,,سایهان,127,sayhan,فارسی,نامشخص
پسر,saeb,,سائب,73,saeb,عربی,نامشخص
پسر,sobohat,,سبحات,471,sobohāt,عربی,نامشخص
پسر,sabbuh,,سبوح,76,sabbuh,عربی,نامشخص
دختر,sabike,,سبیکه,97,sabike,عربی,نامشخص
دختر,saparuk,,سپاروک,289,sapāruk,فارسی,نامشخص
دختر,sepako,,سپاکو,89,sepako,فارسی,نامشخص
پسر,sadanat,,سدانت,515,sadānat,عربی,نامشخص
پسر,samran,,سامران,352,samran,کردی,نامشخص
پسر,sanak,,سانک,131,sanak,فارسی,نامشخص
پسر,savang,,ساونگ,137,savang,فارسی,نامشخص
پسر,saytal,,سایتال,502,saytal,ترکی,نامشخص
پسر,sabak,,سباک,83,sabak,فارسی,نامشخص
پسر,sepano,,سپانو,119,sepano,کردی,نامشخص
پسر,sepantaman,,سپنتامن,603,sepantaman,فارسی,نامشخص
پسر,sepansar,,سپنسار,373,sepansar,فارسی,نامشخص
پسر,sarkesh,,سرکش,580,sarkesh,فارسی,نامشخص
پسر,sohreh,,سهره,270,sohre,فارسی,نامشخص
پسر,sitak,,سیتاک,491,sitak,فارسی,نامشخص
پسر,sirokh,,سیرخ,870,sirokh,فارسی,نامشخص
پسر,sinak,,سیناک,141,sinak,فارسی,نامشخص
دختر,sevta,,سوتا,467,sevta,"ترکی , فارسی",نامشخص
پسر,saghon,,ساغون,1117,saghon,ترکی,نامشخص
پسر,sanal,,سانال,142,sanal,ترکی,نامشخص
پسر,soldoz,,سولدوز,113,soldoz,ترکی,نامشخص
پسر,sepandar,103,سپندار,317,sepandār,فارسی,تایید شده
پسر,sarmad,283,سرمد,304,sarmad,عربی,تایید شده
پسر,seyf,570,سيف,150,seyf,عربی,تایید شده
پسر,saeidreza,3875,سعيدرضا,1145,srezā,عربی,تایید شده
پسر,sohrab,64090,سهراب,268,sohrāb,فارسی,تایید شده
پسر,sepahram,101,سپهرام,308,sepahrām,فارسی,تایید شده
دختر,saral,101,سارال,292,sārāl,کردی,تایید شده
دختر,sama,101,ساما,102,sāmā,اوستایی,تایید شده
دختر,seyran,9334,سيران,321,seyrān,"کردی , فارسی",تایید شده
دختر,sutiyam,184,سوتيام,517,sutiyām,لری,تایید شده
دختر,sakine,730490,سکينه,145,sakine,عربی,تایید شده
دختر,samie,896,سمیعه,185,samie,عربی,تایید شده
دختر,soveyda,225,سویدا,81,soveydā,عربی,تایید شده
دختر,san ay,566,سانآی,122,sān āy,"ترکی , فارسی",تایید شده
دختر,sazgar,337,سازگار,289,sāzegār,فارسی,تایید شده
دختر,sindokht,139,سيندخت,1124,sindokht,فارسی,تایید شده
دختر,savis,101,ساويس,137,sāvis,فارسی,تایید شده
دختر,sinadokht,101,سينادخت,1125,sdokht,فارسی,تایید شده
دختر,sargis,,سرگیس,350,sargis,فارسی,نامشخص
دختر,serenad,,سرناد,315,serenād,فارسی,نامشخص
دختر,serenay,,سرنای,321,serenay,ترکی,نامشخص
پسر,serita,,سریتا,671,serita,اوستایی,نامشخص
دختر,serina,,سرینا,321,serina,فارسی,نامشخص
پسر,sadun,,سعدون,190,sadun,عربی,نامشخص
پسر,soghdiyan,,سغدیان,1125,soghdiyan,فارسی,نامشخص
دختر,soltaneh,,سلطانه,155,soltane,عربی,نامشخص
دختر,seliya,,سلیا,101,seliya,لاتین,نامشخص
پسر,semko,,سمکو,126,semko,کردی,نامشخص
پسر,samoeil,,سموئیل,156,samoeil,عبری,نامشخص
پسر,sandal,,سندل,144,sandal,فارسی,نامشخص
دختر,sennor,,سنور,316,sennor,عربی,نامشخص
دختر,soniya,,سنیا,121,soniya,سانسکریت,نامشخص
پسر,sevada,,سوادا,72,sevada,ارمنی,نامشخص
پسر,subar,,سوبار,269,subar,ترکی,نامشخص
دختر,suraj,,سورج,269,suraj,عبری,نامشخص
دختر,susa,,سوسا,127,susa,فارسی,نامشخص
پسر,susha,,سوشا,367,susha,فارسی,نامشخص
دختر,sevgi,,سوگی,96,sevgi,ترکی,نامشخص
دختر,somiya,,سومیا,117,somiya,فارسی,نامشخص
دختر,somita,,سومیتا,517,somita,فارسی,نامشخص
دختر,somina,,سومینا,167,sominā,عربی,نامشخص
پسر,sonar,,سونار,317,sonar,ترکی,نامشخص
دختر,sevira,,سویرا,277,sevira,گیلکی,نامشخص
دختر,sevinch,,سوینچ,126,sevinch,ترکی,نامشخص
پسر,siyamand,,سیامند,165,siyamand,کردی,نامشخص
دختر,setin da,,ستین دا,525,setin da,لری,نامشخص
دختر,sitka,,سیتکا,491,sitka,گیلکی,نامشخص
دختر,sahora,,سحورا,275,sahora,عربی,نامشخص
پسر,silav,,سیلاو,107,silav,لری,نامشخص
دختر,satgin,,ساتگین,541,satgin,ترکی,نامشخص
پسر,sarp,,سارپ,263,sarp,ترکی,نامشخص
دختر,sarmin,,سرمین,360,sarmin,ترکی,نامشخص
پسر,alisan,9049,علي سانعلیسان,221,asān,"فارسی , عربی",تایید شده
پسر,aliasghar,342973,علياصغر,1401,aasqar,عربی,تایید شده
پسر,alisam,975,علی سام,211,asām,"عربی , اوستایی",تایید شده
پسر,alireza,1063074,عليرضاعلیرضا,1111,alirezā,عربی,تایید شده
پسر,ali,2412740,علي,110,ali,عربی,تایید شده
پسر,alihan,,علیهان,166,alihan,"ترکی , عربی",نامشخص
پسر,erfan,140924,عرفان,401,erfān,عربی,تایید شده
پسر,emad,29964,عماد,115,emād,عربی,تایید شده
پسر,emran,29584,عمران,361,emrān,عبری,تایید شده
دختر,asal,74053,عسل,160,asal,عربی,تایید شده
پسر,arshiya,44283,عرشيا,581,aršiyā,"فارسی , عربی",تایید شده
پسر,osman,25366,عثمان,661,osmān,عربی,تایید شده
پسر,emadreza,3886,عمادرضا,1116,erezā,عربی,تایید شده
پسر,aref,49933,عارف,351,āref,عربی,تایید شده
پسر,alisina,1878,عليسينا,231,asinā,"فارسی , عربی",تایید شده
پسر,alimahan,101,علی ماهان,207,amāhān,"فارسی , عربی",تایید شده
پسر,adnan,16845,عدنان,175,adnān,عربی,تایید شده
پسر,alitaha,356,علی طاهاعلی طه,126,atāhā,عربی,تایید شده
پسر,amer,8415,عامر,311,āmer,عربی,تایید شده
دختر,arefe,36671,عارفه,356,ārefe,عربی,تایید شده
دختر,atefe,168292,عاطفه,165,ātefe,عربی,تایید شده
پسر,alirad,,علیراد,315,alirad,"فارسی , عربی",نامشخص
پسر,arshiyan,224,عرشيان,631,aršiyān,"فارسی , عربی",تایید شده
پسر,alisa,1278,علیسا,171,asā,"فارسی , عربی",تایید شده
پسر,ata,14638,عطا,80,atā,عربی,تایید شده
پسر,aliehsan,1848,علی احسان,230,aehsān,عربی,تایید شده
پسر,abbas,654761,عباس,133,abbas,عربی,تایید شده
دختر,asalnaz,116,عسل ناز,218,anāz,"فارسی , عربی",تایید شده
دختر,adele,23535,عادله,110,ādele,عربی,تایید شده
دختر,ayeshe,87256,عايشه,386,āyeše,عربی,تایید شده
دختر,atra,241,عطرا,280,aetrā,عربی,تایید شده
پسر,aliarshiya,194,علی عرشيا,691,aaršiyā,"فارسی , عربی",تایید شده
پسر,omar,19658,عمر,310,omar,عربی,تایید شده
پسر,abdolvahed,11090,عبدالواحد,126,abdolvāhed,عربی,تایید شده
پسر,alimohammad,104497,علی محمد,202,amohammad,عربی,تایید شده
پسر,alisadra,144,علی صدرا,405,asadrā,عربی,تایید شده
دختر,attiye,40664,عطيه,94,attiye,عربی,تایید شده
پسر,aliram,,علیرام,351,aliram,عربی,نامشخص
پسر,abdolhanan,,عبدالحنان,216,abdolhanan,عربی,نامشخص
پسر,abedin,12072,عابدين,137,ābedin,عربی,تایید شده
پسر,asem,1207,عاصم,201,āsem,عربی,تایید شده
پسر,aliakbar,385190,علياکبر,333,aakbar,عربی,تایید شده
پسر,abdollah,331205,عبدالله,142,abdollāh,عربی,تایید شده
پسر,enayat,7128,عنايت,531,enāyat,فارسی,تایید شده
پسر,ammar,7907,عمار,311,ammār,عربی,تایید شده
پسر,atamohammad,1719,عطامحمد,172,amohammad,عربی,تایید شده
پسر,alimahdi,424,علی مهدی,169,amahdi,عربی,تایید شده
پسر,alisajjad,101,علی سجاد,178,asajjād,عربی,تایید شده
پسر,alihadi,101,علی هادی,130,ahādi,عربی,تایید شده
پسر,adel,69859,عادل,105,ādel,عربی,تایید شده
پسر,abdolmajed,828,عبدالماجد,155,abdolmājed,عربی,تایید شده
پسر,abdolsamie,434,عبدالسمیع,287,abdolsamie,عربی,تایید شده
پسر,afif,101,عفيف,240,afif,عربی,تایید شده
پسر,askar,12524,عسکر,350,askar,عربی,تایید شده
دختر,atrin,1577,عطرين,339,aetrin,"فارسی , عربی",تایید شده
دختر,atragin,101,عطرآگين,360,aetrāgin,"فارسی , عربی",تایید شده
دختر,arefehzahra,306,عارفهزهرا,569,āzahrā,عربی,تایید شده
دختر,afife,4772,عفيفه,245,afife,عربی,تایید شده
دختر,afra,225,عفرا,351,afrā,عربی,تایید شده
دختر,aghigh,382,عقيق,280,aqiq,عربی,تایید شده
دختر,olya,3324,علیا,111,olyā,عربی,تایید شده
دختر,atekeh,,عاتکه,496,ateke,عربی,نامشخص
دختر,azir,,عزیر,287,azir,عربی,نامشخص
پسر,alishah,,علیشاه,416,alishah,"فارسی , عربی",نامشخص
پسر,alijan,,علیجان,164,alijan,ترکی,نامشخص
دختر,attiyezahra,118,عطیه زهرا,307,azahrā,عربی,تایید شده
پسر,ad,,عاد,75,ad,عبری,نامشخص
پسر,amos,,عاموس,177,amos,عبری,نامشخص
پسر,abdolamin,,عبدالامین,208,abdolamin,عربی,نامشخص
پسر,aliarshiya,101,علی ارشیا,622,aaršiyā,"فارسی , عربی",تایید شده
پسر,alipuya,101,علی پویا,129,apuyā,"فارسی , عربی",تایید شده
پسر,alimehrad,101,علی مهراد,360,amehrād,"فارسی , عربی",تایید شده
پسر,alimehr,101,علی مهر,355,amehr,"فارسی , عربی",تایید شده
پسر,alimahziyar,101,علی مهزیار,373,amahziyār,"فارسی , عربی",تایید شده
پسر,aliariya,101,علی آریا,322,aāriyā,"فارسی , عربی",تایید شده
پسر,aliariyan,101,علی آرین,371,aāriyan,"فارسی , عربی",تایید شده
پسر,arafat,162,عرفات,751,arafāt,عربی,تایید شده
پسر,aghel,177,عاقل,201,āqel,عربی,تایید شده
پسر,aziz,81421,عزيز,94,aziz,عربی,تایید شده
پسر,amid,710,عميد,124,amid,عربی,تایید شده
پسر,ataollah,13673,عطاءالله,146,atāollāh,عربی,تایید شده
پسر,azim,27335,عظيم,1020,azim,عربی,تایید شده
پسر,alvan,1559,علوان,157,alvān,فارسی,تایید شده
پسر,ali,1624,عالي,111,āli,عربی,تایید شده
پسر,ashur,4116,عاشور,577,āšur,عربی,تایید شده
پسر,abes,961,عابس,133,ābes,عربی,تایید شده
پسر,atef,716,عاطف,160,ātef,عربی,تایید شده
پسر,alaoddin,2792,علاءالدين,196,alāoddin,عربی,تایید شده
پسر,abed,10982,عابد,77,ābed,عربی,تایید شده
پسر,amidoddin,101,عميدالدين,219,amidoddin,عربی,تایید شده
پسر,ebadollah,18594,عبادالله,143,ebādollāh,عربی,تایید شده
پسر,abid,3752,عبيد,86,abid,عربی,تایید شده
پسر,abdolghafar,10037,عبدالغفور,1393,abdolqafar,عربی,تایید شده
پسر,abdolmoeid,377,عبدالمعید,231,abdolmoeid,عربی,تایید شده
پسر,abdolhamim,1988,عبدالحليم,195,abdolham,عربی,تایید شده
پسر,abdolbaset,10993,عبدالباسط,179,abdolbāset,عربی,تایید شده
پسر,abdolghffar,4836,عبدالغفار,1388,abdolqffār,عربی,تایید شده
پسر,abdolghaher,101,عبدالقاهر,413,abdolqāher,عربی,تایید شده
پسر,abdolmatin,1182,عبدالمتین,607,abdolmatin,عربی,تایید شده
پسر,abdolalim,207,عبدالعلیم,257,abdolalim,عربی,تایید شده
پسر,abdolmoez,187,عبدالمعز,224,abdolmoezz,عربی,تایید شده
پسر,abdolfttah,1074,عبدالفتاح,596,abdolfttāh,عربی,تایید شده
پسر,abdolvasee,181,عبدالواسع,244,abdolvāsee,عربی,تایید شده
پسر,abdolmanan,1336,عبدالمنان,248,abdolmanān,عربی,تایید شده
پسر,abdolahad,4314,عبدالاحد,120,abdolahad,عربی,تایید شده
